exploratory_only,finite_bank_sensitivity_method,finite_bank_sensitivity_replicates,finite_bank_sensitivity_roots_per_stratum,finite_bank_sensitivity_seed,finite_bank_sensitivity_strata,finite_bank_sensitivity_unit,first_attempt_invalid_count,format_valid_first_attempt_count,model,phase,primary_denominator,repaired_invalid_count,scheduled_units,target_id,upstream_provider,welfare_preserving_count_first_attempt,welfare_preserving_rate_all_scheduled,welfare_preserving_rate_all_scheduled_finite_bank_sensitivity_high,welfare_preserving_rate_all_scheduled_finite_bank_sensitivity_low,welfare_preserving_rate_among_first_attempt_valid
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,12850835764995204336,12,one_shot_scenario_root,0,384,claude-opus-4-7,part1,all_scheduled_units,0,384,anthropic/claude-opus-4-7,anthropic,212,0.5520833333333334,0.5989583333333334,0.5026041666666666,0.5520833333333334
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,16116882947691981042,12,one_shot_scenario_root,0,384,claude-opus-4-8,part1,all_scheduled_units,0,384,anthropic/claude-opus-4-8,anthropic,174,0.453125,0.4973958333333333,0.40625,0.453125
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,11006779339157515504,12,one_shot_scenario_root,199,185,claude-opus-5,part1,all_scheduled_units,0,384,anthropic/claude-opus-5,anthropic,77,0.20052083333333334,0.23697916666666666,0.1640625,0.41621621621621624
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,942340982189017543,12,one_shot_scenario_root,40,344,claude-sonnet-4-5,part1,all_scheduled_units,0,384,anthropic/claude-sonnet-4-5,anthropic,21,0.0546875,0.078125,0.033854166666666664,0.061046511627906974
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,5415769418108933253,12,one_shot_scenario_root,0,384,claude-sonnet-4-6,part1,all_scheduled_units,0,384,anthropic/claude-sonnet-4-6,anthropic,150,0.390625,0.4375,0.3463541666666667,0.390625
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,11024021199753144983,12,one_shot_scenario_root,0,384,claude-sonnet-5,part1,all_scheduled_units,0,384,anthropic/claude-sonnet-5,anthropic,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,12985083918977904722,12,one_shot_scenario_root,0,384,deepseek-v4-flash,part1,all_scheduled_units,0,384,deepseek-ai/deepseek-v4-flash,deepseek-ai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,8869609776734018265,12,one_shot_scenario_root,0,384,deepseek-v4-pro,part1,all_scheduled_units,0,384,deepseek-ai/deepseek-v4-pro,deepseek-ai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,17959033935135823122,12,one_shot_scenario_root,3,381,gemini-2.5-flash,part1,all_scheduled_units,0,384,google/gemini-2.5-flash,google,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,8953236278287596013,12,one_shot_scenario_root,5,379,gemini-2.5-flash-lite,part1,all_scheduled_units,0,384,google/gemini-2.5-flash-lite,google,5,0.013020833333333334,0.026041666666666668,0.0026041666666666665,0.013192612137203167
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,15996694177999832857,12,one_shot_scenario_root,0,384,gemini-2.5-pro,part1,all_scheduled_units,0,384,google/gemini-2.5-pro,google,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6509021091776548351,12,one_shot_scenario_root,77,307,gemini-3-flash-preview,part1,all_scheduled_units,0,384,google/gemini-3-flash-preview,google,2,0.005208333333333333,0.013020833333333334,0.0,0.006514657980456026
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,15627154592968370036,12,one_shot_scenario_root,0,384,gemini-3.1-flash-lite,part1,all_scheduled_units,0,384,google/gemini-3.1-flash-lite,google,13,0.033854166666666664,0.052083333333333336,0.015625,0.033854166666666664
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,1146450073203682393,12,one_shot_scenario_root,0,384,gemini-3.1-pro-preview,part1,all_scheduled_units,0,384,google/gemini-3.1-pro-preview,google,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,13540640973714962105,12,one_shot_scenario_root,0,384,gemini-3.5-flash,part1,all_scheduled_units,0,384,google/gemini-3.5-flash,google,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,9172151709582115052,12,one_shot_scenario_root,0,384,gemini-3.6-flash,part1,all_scheduled_units,0,384,google/gemini-3.6-flash,google,2,0.005208333333333333,0.013020833333333334,0.0,0.005208333333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,18310683707269738718,12,one_shot_scenario_root,0,384,gemma-4-31b-it,part1,all_scheduled_units,0,384,google/gemma-4-31b-it,google,42,0.109375,0.140625,0.08072916666666667,0.109375
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,10409245177973589709,12,one_shot_scenario_root,1,383,llama-3.3-70b-instruct,part1,all_scheduled_units,0,384,meta/llama-3.3-70b-instruct,meta,111,0.2890625,0.3333333333333333,0.24479166666666666,0.2898172323759791
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6882954625144713194,12,one_shot_scenario_root,0,384,nemotron-3-nano-30b-a3b,part1,all_scheduled_units,0,384,nvidia/nemotron-3-nano-30b-a3b,nvidia,2,0.005208333333333333,0.013020833333333334,0.0,0.005208333333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,14617402326727153739,12,one_shot_scenario_root,0,384,nemotron-3-super-v3,part1,all_scheduled_units,0,384,nvidia/nemotron-3-super-v3,nvidia,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,2115273030421117027,12,one_shot_scenario_root,0,384,nemotron-3-ultra,part1,all_scheduled_units,0,384,nvidia/nemotron-3-ultra,nvidia,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,14639111632169347554,12,one_shot_scenario_root,2,382,nemotron-nano-31b-v3,part1,all_scheduled_units,0,384,nvidia/nemotron-nano-31b-v3,nvidia,1,0.0026041666666666665,0.0078125,0.0,0.002617801047120419
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,8459499256729222257,12,one_shot_scenario_root,0,384,gpt-3.5-turbo,part1,all_scheduled_units,0,384,openai/gpt-3.5-turbo,openai,26,0.06770833333333333,0.09375,0.044270833333333336,0.06770833333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,7719027384915439348,12,one_shot_scenario_root,0,384,gpt-4.1,part1,all_scheduled_units,0,384,openai/gpt-4.1,openai,82,0.21354166666666666,0.2526041666666667,0.17708333333333334,0.21354166666666666
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,2432360949560008372,12,one_shot_scenario_root,5,379,gpt-4.1-mini,part1,all_scheduled_units,0,384,openai/gpt-4.1-mini,openai,60,0.15625,0.19270833333333334,0.12239583333333333,0.158311345646438
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,5197881651944486239,12,one_shot_scenario_root,56,328,gpt-4.1-nano,part1,all_scheduled_units,0,384,openai/gpt-4.1-nano,openai,117,0.3046875,0.3489583333333333,0.2604166666666667,0.3567073170731707
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,5976051225768661215,12,one_shot_scenario_root,0,384,gpt-4o,part1,all_scheduled_units,0,384,openai/gpt-4o,openai,378,0.984375,0.9947916666666666,0.9713541666666666,0.984375
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,12542264487186505001,12,one_shot_scenario_root,0,384,gpt-4o-mini,part1,all_scheduled_units,0,384,openai/gpt-4o-mini,openai,4,0.010416666666666666,0.020833333333333332,0.0026041666666666665,0.010416666666666666
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,4587907503756831175,12,one_shot_scenario_root,0,384,gpt-5,part1,all_scheduled_units,0,384,openai/gpt-5,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,5773430054582203579,12,one_shot_scenario_root,0,384,gpt-5-chat,part1,all_scheduled_units,0,384,openai/gpt-5-chat,openai,4,0.010416666666666666,0.020833333333333332,0.0026041666666666665,0.010416666666666666
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,1230007359299278686,12,one_shot_scenario_root,0,384,gpt-5-mini,part1,all_scheduled_units,0,384,openai/gpt-5-mini,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,16499332519272576777,12,one_shot_scenario_root,1,383,gpt-5-nano,part1,all_scheduled_units,0,384,openai/gpt-5-nano,openai,1,0.0026041666666666665,0.0078125,0.0,0.0026109660574412533
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6987294514715675912,12,one_shot_scenario_root,0,384,gpt-5.1,part1,all_scheduled_units,0,384,openai/gpt-5.1,openai,2,0.005208333333333333,0.013020833333333334,0.0,0.005208333333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,14216379015675001642,12,one_shot_scenario_root,0,384,gpt-5.1-chat,part1,all_scheduled_units,0,384,openai/gpt-5.1-chat,openai,2,0.005208333333333333,0.013020833333333334,0.0,0.005208333333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,1753468783185976582,12,one_shot_scenario_root,0,384,gpt-5.1-codex,part1,all_scheduled_units,0,384,openai/gpt-5.1-codex,openai,5,0.013020833333333334,0.026041666666666668,0.0026041666666666665,0.013020833333333334
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,15271713999030480271,12,one_shot_scenario_root,0,384,gpt-5.1-codex-max,part1,all_scheduled_units,0,384,openai/gpt-5.1-codex-max,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,2394308102451049379,12,one_shot_scenario_root,0,384,gpt-5.1-codex-mini,part1,all_scheduled_units,0,384,openai/gpt-5.1-codex-mini,openai,9,0.0234375,0.0390625,0.010416666666666666,0.0234375
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,7392120838133973190,12,one_shot_scenario_root,0,384,gpt-5.2,part1,all_scheduled_units,0,384,openai/gpt-5.2,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,10577147982235468086,12,one_shot_scenario_root,0,384,gpt-5.2-chat,part1,all_scheduled_units,0,384,openai/gpt-5.2-chat,openai,2,0.005208333333333333,0.013020833333333334,0.0,0.005208333333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6054342029433893645,12,one_shot_scenario_root,0,384,gpt-5.2-codex,part1,all_scheduled_units,0,384,openai/gpt-5.2-codex,openai,3,0.0078125,0.018229166666666668,0.0,0.0078125
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,10656657161197451884,12,one_shot_scenario_root,0,384,gpt-5.3-chat,part1,all_scheduled_units,0,384,openai/gpt-5.3-chat,openai,3,0.0078125,0.018229166666666668,0.0,0.0078125
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,1474955192115977045,12,one_shot_scenario_root,0,384,gpt-5.3-codex,part1,all_scheduled_units,0,384,openai/gpt-5.3-codex,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,2009673447840033150,12,one_shot_scenario_root,0,384,gpt-5.4,part1,all_scheduled_units,0,384,openai/gpt-5.4,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6501659126277072485,12,one_shot_scenario_root,0,384,gpt-5.4-mini,part1,all_scheduled_units,0,384,openai/gpt-5.4-mini,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,17748121521358622016,12,one_shot_scenario_root,0,384,gpt-5.4-nano,part1,all_scheduled_units,0,384,openai/gpt-5.4-nano,openai,163,0.4244791666666667,0.4739583333333333,0.375,0.4244791666666667
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,14558544825727269897,12,one_shot_scenario_root,0,384,gpt-5.5,part1,all_scheduled_units,0,384,openai/gpt-5.5,openai,1,0.0026041666666666665,0.0078125,0.0,0.0026041666666666665
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,4428062764750679385,12,one_shot_scenario_root,0,384,gpt-5.6-luna,part1,all_scheduled_units,0,384,openai/gpt-5.6-luna,openai,3,0.0078125,0.018229166666666668,0.0,0.0078125
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,16918055800578790220,12,one_shot_scenario_root,0,384,gpt-5.6-sol,part1,all_scheduled_units,0,384,openai/gpt-5.6-sol,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,5061185875705718744,12,one_shot_scenario_root,0,384,gpt-5.6-terra,part1,all_scheduled_units,0,384,openai/gpt-5.6-terra,openai,3,0.0078125,0.018229166666666668,0.0,0.0078125
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,16850234729127400162,12,one_shot_scenario_root,0,384,gpt-oss-120b,part1,all_scheduled_units,0,384,openai/gpt-oss-120b,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,331082700158595072,12,one_shot_scenario_root,1,383,gpt-oss-20b,part1,all_scheduled_units,0,384,openai/gpt-oss-20b,openai,20,0.052083333333333336,0.07552083333333333,0.03125,0.05221932114882506
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,7950030677428187646,12,one_shot_scenario_root,2,382,o1,part1,all_scheduled_units,0,384,openai/o1,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,9794284942639953714,12,one_shot_scenario_root,0,384,o3,part1,all_scheduled_units,0,384,openai/o3,openai,6,0.015625,0.028645833333333332,0.005208333333333333,0.015625
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,13007466628378380006,12,one_shot_scenario_root,2,382,o3-mini,part1,all_scheduled_units,0,384,openai/o3-mini,openai,4,0.010416666666666666,0.020833333333333332,0.0026041666666666665,0.010471204188481676
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6475621267053208870,12,one_shot_scenario_root,0,384,o4-mini,part1,all_scheduled_units,0,384,openai/o4-mini,openai,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,16176557125222976526,12,one_shot_scenario_root,0,384,sonar,part1,all_scheduled_units,0,384,perplexity/sonar,perplexity,38,0.09895833333333333,0.13020833333333334,0.0703125,0.09895833333333333
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,16457073967309273464,12,one_shot_scenario_root,0,384,sonar-pro,part1,all_scheduled_units,0,384,perplexity/sonar-pro,perplexity,91,0.23697916666666666,0.2760416666666667,0.19791666666666666,0.23697916666666666
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,3723124777341191238,12,one_shot_scenario_root,0,384,sonar-reasoning-pro,part1,all_scheduled_units,0,384,perplexity/sonar-reasoning-pro,perplexity,22,0.057291666666666664,0.08072916666666667,0.036458333333333336,0.057291666666666664
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6247228348804105427,12,one_shot_scenario_root,1,383,qwen-235b,part1,all_scheduled_units,0,384,qwen/qwen-235b,qwen,2,0.005208333333333333,0.013020833333333334,0.0,0.005221932114882507
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,7108732599326650464,12,one_shot_scenario_root,38,346,qwen3-5-397b-a17b,part1,all_scheduled_units,0,384,qwen/qwen3-5-397b-a17b,qwen,54,0.140625,0.17447916666666666,0.10677083333333333,0.15606936416184972
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,15919311852412998600,12,one_shot_scenario_root,0,384,qwen3-next-80b-a3b-instruct,part1,all_scheduled_units,0,384,qwen/qwen3-next-80b-a3b-instruct,qwen,9,0.0234375,0.0390625,0.010416666666666666,0.0234375
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,15480824958450568674,12,one_shot_scenario_root,0,384,qwen3.5-35b-a3b,part1,all_scheduled_units,0,384,qwen/qwen3.5-35b-a3b,qwen,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,10431117825276886904,12,one_shot_scenario_root,13,371,qwen3.6-27b,part1,all_scheduled_units,0,384,qwen/qwen3.6-27b,qwen,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,7528988536875871094,12,one_shot_scenario_root,0,384,qwen3.6-35b-a3b,part1,all_scheduled_units,0,384,qwen/qwen3.6-35b-a3b,qwen,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,14165759046919811752,12,one_shot_scenario_root,1,383,glm-5.1,part1,all_scheduled_units,0,384,zai-org/glm-5.1,zai-org,0,0.0,0.0,0.0,0.0
