analysis_unit,cell_count,common_seed_count,confirmatory,design,effect_high_minus_low,factor,high_level,holm_adjusted_p,holm_family,holm_family_size,inference_scope,low_level,max_t_adjusted_p,max_t_family,permutation_count,raw_exact_p,sentinel_id,standard_error,t_statistic,within_sentinel_holm_adjusted_p,within_sentinel_max_t_adjusted_p
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.2880989583333334,capacity_per_initial_agent,15,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,5,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,nvidia/nemotron-3-super-v3,0.006536458333333327,44.07569721115542,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.17111979166666663,depletion_units,2,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,1,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,nvidia/nemotron-3-super-v3,0.006536458333333327,-26.179282868525913,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.012265625000000002,collapse_death_rate,0.4,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,0.1,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,nvidia/nemotron-3-super-v3,0.0026302083333333277,-4.663366336633674,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.017317708333333348,society_size,8,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,4,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,nvidia/nemotron-3-super-v3,0.0005989583333333437,-28.913043478260395,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.17617187500000003,horizon_days,20,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,10,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,nvidia/nemotron-3-super-v3,0.014453124999999995,-12.189189189189193,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.14140625,capacity_per_initial_agent,15,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,5,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,openai/gpt-5.4,0.010520833333333368,-13.440594059405898,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.09583333333333338,depletion_units,2,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,1,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,openai/gpt-5.4,0.015572916666666659,6.15384615384616,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.013489583333333388,collapse_death_rate,0.4,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,0.1,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,openai/gpt-5.4,0.04020833333333328,-0.33549222797927636,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.11177083333333337,society_size,8,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,4,1.0,five_main_effects_within_sentinel_diagnostic,4,0.5,openai/gpt-5.4,0.10348958333333334,-1.0800201308505286,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.14500000000000002,horizon_days,20,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,10,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,openai/gpt-5.4,0.03369791666666666,-4.302936630602783,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.1277864583333333,capacity_per_initial_agent,15,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,5,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,qwen/qwen3.6-27b,0.006744791666666693,18.945945945945862,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.04247395833333334,depletion_units,2,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,1,1.0,five_main_effects_within_sentinel_diagnostic,4,0.5,qwen/qwen3.6-27b,0.03164062499999998,-1.3423868312757212,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.0030468750000000044,collapse_death_rate,0.4,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,0.1,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,qwen/qwen3.6-27b,0.005755208333333317,0.5294117647058846,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.267109375,society_size,8,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,4,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,qwen/qwen3.6-27b,0.0026822916666666414,-99.58252427184557,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.21440104166666668,horizon_days,20,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,10,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,qwen/qwen3.6-27b,0.00809895833333335,-26.472668810289335,1.0,0.5
