model,dimension,value,analysis_scope,total,cooperative,cooperation_rate,wilson_low,wilson_high
huihui_ai/qwen2.5-abliterate:7b-instruct,game,prisoners_dilemma,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b-instruct,game,temptation_or_commons,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b-instruct,presentation,narrative,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b-instruct,presentation,structured,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
llama2,domain,crime,self_direct,16,3,0.1875,0.06591599071428142,0.4300888096197414
llama2,domain,education,self_direct,16,11,0.6875,0.44404355834740666,0.8583535614521796
llama2,domain,healthcare,self_direct,16,11,0.6875,0.44404355834740666,0.8583535614521796
llama2,domain,neighborhood,self_direct,16,9,0.5625,0.331785563988119,0.7690134759450765
llama2,domain,sports,self_direct,16,8,0.5,0.27999563610326017,0.7200043638967398
llama2,domain,workplace,self_direct,16,8,0.5,0.27999563610326017,0.7200043638967398
llama2,frame,advice,all_frames,96,78,0.8125,0.7229774574820691,0.8779753001068837
llama2,frame,observer_evaluation,all_frames,96,74,0.7708333333333334,0.6773148946997619,0.8435108285439975
llama2,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
llama2,frame,self_direct,all_frames,96,50,0.5208333333333334,0.4220376770680893,0.6180258401045079
llama2,game,prisoners_dilemma,self_direct,48,26,0.5416666666666666,0.40291074545649797,0.6742475770713254
llama2,game,temptation_or_commons,self_direct,48,24,0.5,0.36389330502679385,0.6361066949732062
llama2,presentation,narrative,self_direct,48,25,0.5208333333333334,0.3832923230334281,0.6552868382304838
llama2,presentation,structured,self_direct,48,25,0.5208333333333334,0.3832923230334281,0.6552868382304838
llama2-uncensored,domain,crime,self_direct,16,10,0.625,0.38641040545502714,0.8151876744113636
llama2-uncensored,domain,education,self_direct,16,10,0.625,0.38641040545502714,0.8151876744113636
llama2-uncensored,domain,healthcare,self_direct,16,9,0.5625,0.331785563988119,0.7690134759450765
llama2-uncensored,domain,neighborhood,self_direct,16,8,0.5,0.27999563610326017,0.7200043638967398
llama2-uncensored,domain,sports,self_direct,16,8,0.5,0.27999563610326017,0.7200043638967398
llama2-uncensored,domain,workplace,self_direct,16,12,0.75,0.5050168346449122,0.8981793250878696
llama2-uncensored,frame,advice,all_frames,96,75,0.78125,0.688620932638833,0.8522365491912246
llama2-uncensored,frame,observer_evaluation,all_frames,96,76,0.7916666666666666,0.6999975294751408,0.8608917109412153
llama2-uncensored,frame,prediction,all_frames,96,56,0.5833333333333334,0.48336967940369446,0.6768843892866933
llama2-uncensored,frame,self_direct,all_frames,96,57,0.59375,0.49373884894170256,0.6865469783349833
llama2-uncensored,game,prisoners_dilemma,self_direct,48,19,0.3958333333333333,0.2702082786059137,0.5368959150745274
llama2-uncensored,game,temptation_or_commons,self_direct,48,38,0.7916666666666666,0.6574109872738206,0.882697270420944
llama2-uncensored,presentation,narrative,self_direct,48,27,0.5625,0.42275017419827776,0.6929873095934576
llama2-uncensored,presentation,structured,self_direct,48,30,0.625,0.4836276351921527,0.747847332391318
qwen2.5:7b,domain,crime,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b,domain,education,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b,domain,healthcare,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b,domain,neighborhood,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b,domain,sports,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b,domain,workplace,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b,frame,advice,all_frames,96,96,1.0,0.9615244121423243,1.0
qwen2.5:7b,frame,observer_evaluation,all_frames,96,96,1.0,0.9615244121423243,1.0
qwen2.5:7b,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
qwen2.5:7b,frame,self_direct,all_frames,96,96,1.0,0.9615244121423243,1.0
qwen2.5:7b,game,prisoners_dilemma,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
qwen2.5:7b,game,temptation_or_commons,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
qwen2.5:7b,presentation,narrative,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
qwen2.5:7b,presentation,structured,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
qwen2.5:7b-instruct,domain,crime,self_direct,16,15,0.9375,0.7167126242970107,0.9888806552353576
qwen2.5:7b-instruct,domain,education,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b-instruct,domain,healthcare,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b-instruct,domain,neighborhood,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b-instruct,domain,sports,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b-instruct,domain,workplace,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen2.5:7b-instruct,frame,advice,all_frames,96,96,1.0,0.9615244121423243,1.0
qwen2.5:7b-instruct,frame,observer_evaluation,all_frames,96,96,1.0,0.9615244121423243,1.0
qwen2.5:7b-instruct,frame,prediction,all_frames,96,1,0.010416666666666666,0.0018411702168162486,0.056666176227157854
qwen2.5:7b-instruct,frame,self_direct,all_frames,96,95,0.9895833333333334,0.9433338237728424,0.9981588297831838
qwen2.5:7b-instruct,game,prisoners_dilemma,self_direct,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893
qwen2.5:7b-instruct,game,temptation_or_commons,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
qwen2.5:7b-instruct,presentation,narrative,self_direct,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893
qwen2.5:7b-instruct,presentation,structured,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
qwen3.5,domain,crime,self_direct,16,12,0.75,0.5050168346449122,0.8981793250878696
qwen3.5,domain,education,self_direct,16,15,0.9375,0.7167126242970107,0.9888806552353576
qwen3.5,domain,healthcare,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen3.5,domain,neighborhood,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen3.5,domain,sports,self_direct,16,15,0.9375,0.7167126242970107,0.9888806552353576
qwen3.5,domain,workplace,self_direct,16,16,1.0,0.8063923194655637,1.0
qwen3.5,frame,advice,all_frames,96,90,0.9375,0.8702905349355852,0.9710433256889488
qwen3.5,frame,observer_evaluation,all_frames,96,93,0.96875,0.9121132067546303,0.989315929628799
qwen3.5,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
qwen3.5,frame,self_direct,all_frames,96,90,0.9375,0.8702905349355852,0.9710433256889488
qwen3.5,game,prisoners_dilemma,self_direct,48,44,0.9166666666666666,0.8044669820963272,0.9671162431819081
qwen3.5,game,temptation_or_commons,self_direct,48,46,0.9583333333333334,0.8602434412954456,0.9884981065106133
qwen3.5,presentation,narrative,self_direct,48,42,0.875,0.7529954171361317,0.9414294856142802
qwen3.5,presentation,structured,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
sorc/qwen3.5-instruct,domain,crime,self_direct,16,5,0.3125,0.14164643854782039,0.5559564416525933
sorc/qwen3.5-instruct,domain,education,self_direct,16,9,0.5625,0.331785563988119,0.7690134759450765
sorc/qwen3.5-instruct,domain,healthcare,self_direct,16,14,0.875,0.639771727342413,0.9650225122567595
sorc/qwen3.5-instruct,domain,neighborhood,self_direct,16,12,0.75,0.5050168346449122,0.8981793250878696
sorc/qwen3.5-instruct,domain,sports,self_direct,16,7,0.4375,0.23098652405492354,0.6682144360118811
sorc/qwen3.5-instruct,domain,workplace,self_direct,16,14,0.875,0.639771727342413,0.9650225122567595
sorc/qwen3.5-instruct,frame,advice,all_frames,96,50,0.5208333333333334,0.4220376770680893,0.6180258401045079
sorc/qwen3.5-instruct,frame,observer_evaluation,all_frames,96,76,0.7916666666666666,0.6999975294751408,0.8608917109412153
sorc/qwen3.5-instruct,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
sorc/qwen3.5-instruct,frame,self_direct,all_frames,96,61,0.6354166666666666,0.5356522624736236,0.7247605991482561
sorc/qwen3.5-instruct,game,prisoners_dilemma,self_direct,48,20,0.4166666666666667,0.2884966777841157,0.5571866771602373
sorc/qwen3.5-instruct,game,temptation_or_commons,self_direct,48,41,0.8541666666666666,0.7283282347525372,0.9275175067339628
sorc/qwen3.5-instruct,presentation,narrative,self_direct,48,28,0.5833333333333334,0.4428133228397628,0.7115033222158844
sorc/qwen3.5-instruct,presentation,structured,self_direct,48,33,0.6875,0.5466692858410841,0.8005431655341219
sorc/qwen3.5-instruct-uncensored,domain,crime,self_direct,16,0,0.0,0.0,0.1936076805344365
sorc/qwen3.5-instruct-uncensored,domain,education,self_direct,16,3,0.1875,0.06591599071428142,0.4300888096197414
sorc/qwen3.5-instruct-uncensored,domain,healthcare,self_direct,16,2,0.125,0.03497748774324047,0.36022827265758695
sorc/qwen3.5-instruct-uncensored,domain,neighborhood,self_direct,16,6,0.375,0.18481232558863633,0.6135895945449727
sorc/qwen3.5-instruct-uncensored,domain,sports,self_direct,16,0,0.0,0.0,0.1936076805344365
sorc/qwen3.5-instruct-uncensored,domain,workplace,self_direct,16,2,0.125,0.03497748774324047,0.36022827265758695
sorc/qwen3.5-instruct-uncensored,frame,advice,all_frames,96,29,0.3020833333333333,0.21931158499064568,0.40008500186968426
sorc/qwen3.5-instruct-uncensored,frame,observer_evaluation,all_frames,96,57,0.59375,0.49373884894170256,0.6865469783349833
sorc/qwen3.5-instruct-uncensored,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
sorc/qwen3.5-instruct-uncensored,frame,self_direct,all_frames,96,13,0.13541666666666666,0.0808770644581112,0.21801138502144396
sorc/qwen3.5-instruct-uncensored,game,prisoners_dilemma,self_direct,48,4,0.08333333333333333,0.03288375681809179,0.19553301790367278
sorc/qwen3.5-instruct-uncensored,game,temptation_or_commons,self_direct,48,9,0.1875,0.10191390954847647,0.31939867149284695
sorc/qwen3.5-instruct-uncensored,presentation,narrative,self_direct,48,8,0.16666666666666666,0.08695513576485567,0.295778284012556
sorc/qwen3.5-instruct-uncensored,presentation,structured,self_direct,48,5,0.10416666666666667,0.04532171904181309,0.2216742169438633
